Sort_id,All Events FSC-A Median,All Events FSC-W Median,All Events SSC-A Median,All Events CD33 640 670/30-A Median,All Events CD45RA 640 730/45-A Median,All Events CD34 640 780/60-A Median,All Events CD90 561 582/15-A Median,All Events CD49F 561 670/14-A Median,All Events CD38 561 780/60-A Median,All Events Lin 488 530/30-A Median,All Events CD7/10 V405 450/50-A Median,All Events L/D V405 525/50-A Median,All Events CD45 V405 780/60-A Median,All Events Time Median,Cell_seeded
1_A1,112658,88277,69876,29,73,2922,18,1753,-130,394,15869,339,1876,21346,HSC
1_A2,121219,86473,65391,179,85,2452,550,1041,45,361,5634,212,1566,21591,HSC
1_A3,108333,85121,77105,145,121,3745,20,1397,66,234,26311,305,3074,21788,HSC
1_A4,120269,87174,75981,164,104,1879,356,1301,-103,461,8638,138,1069,21978,HSC
1_A5,91519,82079,80762,117,53,2789,330,1217,-208,374,7201,338,1629,22197,HSC
1_A6,112547,85498,57599,103,51,2389,373,465,-161,398,4773,182,1492,22395,HSC
1_A7,106497,86817,54769,3,-4,1906,186,1989,-135,399,5404,126,932,22586,HSC
1_A8,105640,84439,51024,136,22,1404,82,1072,-43,169,3259,181,481,22779,HSC
1_A9,124029,87360,57085,-35,53,820,52,2645,76,600,2044,221,1133,22974,HSC
1_A10,109917,86260,60644,64,99,3252,-29,875,-118,520,8756,226,2109,23189,HSC
1_A11,98083,83767,50871,57,144,2202,1314,1386,30,197,4612,118,587,23387,HSC
1_A12,115940,86634,52696,306,33,2152,40,2406,-51,306,10480,103,1417,23579,HSC
1_B1,115109,86551,59339,152,9,2408,-2,1157,-53,170,6796,192,1311,25941,HSC
1_B2,113255,89255,47142,-20,76,1765,340,696,-68,17,7622,179,655,25743,HSC
1_B3,135541,92354,72199,87,-20,1130,-27,6194,-23,761,1928,222,2009,25541,HSC
1_B4,135247,90292,56638,61,69,2286,24,2073,-43,658,10986,419,3381,25351,HSC
1_B5,107472,84498,62752,89,69,3692,97,7475,-143,922,12884,166,1437,25156,HSC
1_B6,109984,85797,66928,79,36,1907,8,830,67,275,22845,327,1544,24941,HSC
1_B7,115713,88676,61543,22,48,1344,129,1245,15,346,10096,230,1472,24748,HSC
1_B8,115232,87521,76739,135,78,2305,218,2245,47,164,12326,224,993,24553,HSC
1_B9,89623,84725,83966,135,115,3125,582,3370,-108,291,7623,226,1412,24360,HSC
1_B10,80729,82531,77010,132,93,3041,58,4109,91,362,9047,222,923,24169,HSC
1_B11,126016,90599,57038,230,42,2562,91,821,-44,550,7309,187,1739,23969,HSC
1_B12,94867,82925,49748,63,138,2718,148,1297,87,320,22041,343,1820,23775,HSC
1_C1,126146,89085,62105,-54,115,2235,-79,3104,-83,447,25525,286,2133,26132,HSC
1_C2,112971,84806,53605,343,7,2253,220,1289,80,244,9047,168,1230,26323,HSC
1_C3,121651,88245,72426,112,53,1849,331,2742,-32,586,8600,232,1318,26534,HSC
1_C4,119652,90759,60749,43,25,1390,-5,976,17,1093,705,147,944,26776,HSC
1_C5,108646,89061,85325,-6,19,2456,57,4033,-18,185,21081,97,2204,26973,HSC
1_C6,103873,82701,34677,44,23,1606,1402,882,-16,282,16887,180,1560,27164,HSC
1_C7,109654,87095,45091,72,26,1369,143,523,211,35,7534,217,1716,27358,HSC
1_C8,105819,85445,58924,151,102,2399,-71,1162,-124,583,16153,190,1363,27553,HSC
1_C9,123210,90854,56070,73,114,3030,36,1877,-198,483,12754,151,1576,27745,HSC
1_C10,122006,93878,61411,55,72,2053,133,900,24,188,21001,412,2010,27946,HSC
1_C11,123293,89646,47030,144,-2,2011,92,2720,3,330,18867,414,2643,28138,HSC
1_C12,124047,89957,72164,57,110,2234,14,1594,-10,423,9273,187,977,28331,HSC
1_D1,104967,83864,69432,223,22,2781,243,2929,-95,412,11608,101,1632,30700,HSC
1_D2,104952,82379,44868,-45,-172,2661,-1,995,51,89,9083,71,774,30505,HSC
1_D3,106039,85949,53527,-51,-5,1987,166,3852,42,373,4526,290,871,30315,HSC
1_D4,97049,83867,56983,167,56,2762,12,1452,-165,694,13098,181,1290,30119,HSC
1_D5,116350,85788,55740,340,63,2578,331,1202,85,414,7430,154,1108,29929,HSC
1_D6,122051,90820,117309,-153,56,4805,582,5052,-136,649,7171,272,1018,29730,HSC
1_D7,96925,94417,83815,48,75,3043,181,1355,61,417,12039,234,1778,29516,HSC
1_D8,92532,82129,54961,-37,21,1140,35,2054,-79,107,19828,245,1932,29322,HSC
1_D9,112635,86497,68748,37,30,1446,86,1048,34,439,5063,180,998,29126,HSC
1_D10,111814,85824,51172,4,36,1306,-4,1460,15,420,8978,181,1170,28938,HSC
1_D11,67156,82890,70683,214,52,2510,143,186,111,659,2926,281,2085,28739,HSC
1_D12,127275,88193,62711,-49,122,1986,105,1973,45,499,9768,139,1545,28526,HSC
1_E1,124482,89947,57444,106,31,2859,7,717,-28,244,29259,340,2536,30914,HSC
1_E2,127880,93672,94678,145,102,4463,797,2204,-72,527,28811,456,2955,31111,HSC
1_E3,124491,89446,72925,58,53,2958,316,782,-108,509,6477,198,1726,31303,HSC
1_E4,129457,94411,59395,58,36,1799,534,846,7,423,8107,175,1288,31508,HSC
1_E5,118116,88245,40961,71,40,2195,71,709,120,274,43246,241,4547,31701,HSC
1_E6,99894,83812,60939,11,34,2357,121,1295,-40,293,1536,199,699,31893,HSC
1_E7,73478,81501,91200,-6,23,3505,24,2059,-120,464,4119,175,1287,32084,HSC
1_E8,121110,86965,68316,143,98,2087,116,1282,95,209,5318,204,793,32279,HSC
1_E9,108611,87618,65486,57,54,1741,53,762,-115,314,15339,292,1430,32472,HSC
1_E10,131419,93307,46332,52,119,1393,299,1090,182,396,17141,280,578,32672,HSC
1_E11,102287,83433,58565,32,7,1951,132,1291,-13,226,7472,209,1128,32864,HSC
1_E12,127394,91244,63246,85,84,2267,268,1617,5,1013,15890,204,2172,33057,HSC
1_F1,76035,82038,96048,-41,61,2796,106,1956,-42,171,5845,234,1374,35409,HSC
1_F2,129582,88330,55025,66,17,2335,517,671,-5,491,5623,119,1110,35214,HSC
1_F3,81945,89788,118033,377,119,4393,43,1173,5,648,8893,277,3141,35022,HSC
1_F4,118295,91715,68398,194,34,2175,-45,431,-121,313,29939,278,1504,34826,HSC
1_F5,111455,85888,56205,76,88,1780,16,4767,-111,417,6156,206,663,34630,HSC
1_F6,98332,85144,64193,-6,11,1220,-42,1113,-66,157,15457,75,721,34435,HSC
1_F7,81713,84194,108527,186,79,2069,4,1210,-105,695,5248,222,1141,34240,HSC
1_F8,126365,89283,62447,190,24,1757,30,767,-36,212,5730,115,1006,34046,HSC
1_F9,110536,84351,86332,225,102,4540,1173,1539,-95,365,34370,178,2270,33856,HSC
1_F10,111874,87334,71809,239,79,3944,66,3249,-116,602,14614,333,1360,33664,HSC
1_F11,124153,86882,68575,197,113,3908,320,970,-227,156,9293,118,2159,33468,HSC
1_F12,103926,87643,50911,99,44,1180,271,499,27,361,3213,122,1143,33252,HSC
1_G1,109781,86900,49608,200,15,1515,264,713,42,227,3058,202,750,35609,HSC
1_G2,79961,96973,106195,168,130,2375,360,1072,58,1184,8003,277,1995,35800,HSC
1_G3,108829,86186,47155,92,132,1977,-99,1862,-29,350,31543,178,1467,35992,HSC
1_G4,123711,88776,68237,14,43,1684,994,1591,13,437,6323,187,1241,36187,HSC
1_G5,115814,87530,69904,97,35,1884,4835,724,125,639,3601,258,3398,36380,HSC
1_G6,125126,86514,51538,137,38,871,21,614,95,1449,2717,121,1388,36580,HSC
1_G7,109718,83603,61543,270,34,3094,43,2204,-104,240,9801,198,1994,36780,HSC
1_G8,130283,87994,62501,167,98,2243,3413,469,26,632,19934,244,2657,36995,HSC
1_G9,135133,90902,52712,354,28,757,163,9052,-79,868,2140,249,1759,37193,HSC
1_G10,116210,87853,58709,122,19,2567,110,939,-134,424,7891,184,975,37386,HSC
1_G11,85158,81042,70460,1,16,3382,63,1801,-108,224,12402,175,1485,37577,HSC
1_G12,106425,85958,76820,127,61,4498,92,6052,-244,170,11736,252,1365,37770,HSC
1_H1,111554,84540,51672,33,95,2948,103,4684,-86,406,17963,337,1792,40214,HSC
1_H2,119766,88007,68635,133,71,1341,89,687,-7,460,3655,245,683,40020,HSC
1_H3,112695,83303,47331,36,-34,867,83,5286,62,660,1595,177,1839,39829,HSC
1_H4,105228,90713,75979,264,36,2437,99,2156,26,210,35154,362,1673,39632,HSC
1_H5,88477,81067,53970,116,-13,3296,112,1008,-92,338,7579,165,1341,39416,HSC
1_H6,127539,92104,75509,-60,28,1747,102,1750,-56,269,13909,220,1787,39221,HSC
1_H7,117516,89384,48824,-117,82,1442,172,20116,-26,1958,86,292,1605,39027,HSC
1_H8,109423,84945,74129,153,57,3708,74,876,-196,593,5862,207,1137,38835,HSC
1_H9,125016,95037,57967,70,15,2015,454,2532,-76,393,4157,180,1166,38639,HSC
1_H10,109463,85301,54685,4,42,2287,195,1750,-15,380,8952,193,1158,38395,HSC
1_H11,124383,88910,66925,188,33,1341,304,909,52,297,3851,111,1062,38165,HSC
1_H12,129535,93800,65418,286,51,3796,984,1576,10,463,10673,255,2314,37964,HSC
2_A1,112658,88277,69876,29,73,2922,18,1753,-130,394,15869,339,1876,21346,HSC
2_A2,121219,86473,65391,179,85,2452,550,1041,45,361,5634,212,1566,21591,HSC
2_A3,108333,85121,77105,145,121,3745,20,1397,66,234,26311,305,3074,21788,HSC
2_A4,120269,87174,75981,164,104,1879,356,1301,-103,461,8638,138,1069,21978,HSC
2_A5,91519,82079,80762,117,53,2789,330,1217,-208,374,7201,338,1629,22197,HSC
2_A6,112547,85498,57599,103,51,2389,373,465,-161,398,4773,182,1492,22395,HSC
2_A7,106497,86817,54769,3,-4,1906,186,1989,-135,399,5404,126,932,22586,HSC
2_A8,105640,84439,51024,136,22,1404,82,1072,-43,169,3259,181,481,22779,HSC
2_A9,124029,87360,57085,-35,53,820,52,2645,76,600,2044,221,1133,22974,HSC
2_A10,109917,86260,60644,64,99,3252,-29,875,-118,520,8756,226,2109,23189,HSC
2_A11,98083,83767,50871,57,144,2202,1314,1386,30,197,4612,118,587,23387,HSC
2_A12,115940,86634,52696,306,33,2152,40,2406,-51,306,10480,103,1417,23579,HSC
2_B1,115109,86551,59339,152,9,2408,-2,1157,-53,170,6796,192,1311,25941,HSC
2_B2,113255,89255,47142,-20,76,1765,340,696,-68,17,7622,179,655,25743,HSC
2_B3,135541,92354,72199,87,-20,1130,-27,6194,-23,761,1928,222,2009,25541,HSC
2_B4,135247,90292,56638,61,69,2286,24,2073,-43,658,10986,419,3381,25351,HSC
2_B5,107472,84498,62752,89,69,3692,97,7475,-143,922,12884,166,1437,25156,HSC
2_B6,109984,85797,66928,79,36,1907,8,830,67,275,22845,327,1544,24941,HSC
2_B7,115713,88676,61543,22,48,1344,129,1245,15,346,10096,230,1472,24748,HSC
2_B8,115232,87521,76739,135,78,2305,218,2245,47,164,12326,224,993,24553,HSC
2_B9,89623,84725,83966,135,115,3125,582,3370,-108,291,7623,226,1412,24360,HSC
2_B10,80729,82531,77010,132,93,3041,58,4109,91,362,9047,222,923,24169,HSC
2_B11,126016,90599,57038,230,42,2562,91,821,-44,550,7309,187,1739,23969,HSC
2_B12,94867,82925,49748,63,138,2718,148,1297,87,320,22041,343,1820,23775,HSC
2_C1,126146,89085,62105,-54,115,2235,-79,3104,-83,447,25525,286,2133,26132,HSC
2_C2,112971,84806,53605,343,7,2253,220,1289,80,244,9047,168,1230,26323,HSC
2_C3,121651,88245,72426,112,53,1849,331,2742,-32,586,8600,232,1318,26534,HSC
2_C4,119652,90759,60749,43,25,1390,-5,976,17,1093,705,147,944,26776,HSC
2_C5,108646,89061,85325,-6,19,2456,57,4033,-18,185,21081,97,2204,26973,HSC
2_C6,103873,82701,34677,44,23,1606,1402,882,-16,282,16887,180,1560,27164,HSC
2_C7,109654,87095,45091,72,26,1369,143,523,211,35,7534,217,1716,27358,HSC
2_C8,105819,85445,58924,151,102,2399,-71,1162,-124,583,16153,190,1363,27553,HSC
2_C9,123210,90854,56070,73,114,3030,36,1877,-198,483,12754,151,1576,27745,HSC
2_C10,122006,93878,61411,55,72,2053,133,900,24,188,21001,412,2010,27946,HSC
2_C11,123293,89646,47030,144,-2,2011,92,2720,3,330,18867,414,2643,28138,HSC
2_C12,124047,89957,72164,57,110,2234,14,1594,-10,423,9273,187,977,28331,HSC
2_D1,104967,83864,69432,223,22,2781,243,2929,-95,412,11608,101,1632,30700,HSC
2_D2,104952,82379,44868,-45,-172,2661,-1,995,51,89,9083,71,774,30505,HSC
2_D3,106039,85949,53527,-51,-5,1987,166,3852,42,373,4526,290,871,30315,HSC
2_D4,97049,83867,56983,167,56,2762,12,1452,-165,694,13098,181,1290,30119,HSC
2_D5,116350,85788,55740,340,63,2578,331,1202,85,414,7430,154,1108,29929,HSC
2_D6,122051,90820,117309,-153,56,4805,582,5052,-136,649,7171,272,1018,29730,HSC
2_D7,96925,94417,83815,48,75,3043,181,1355,61,417,12039,234,1778,29516,HSC
2_D8,92532,82129,54961,-37,21,1140,35,2054,-79,107,19828,245,1932,29322,HSC
2_D9,112635,86497,68748,37,30,1446,86,1048,34,439,5063,180,998,29126,HSC
2_D10,111814,85824,51172,4,36,1306,-4,1460,15,420,8978,181,1170,28938,HSC
2_D11,67156,82890,70683,214,52,2510,143,186,111,659,2926,281,2085,28739,HSC
2_D12,127275,88193,62711,-49,122,1986,105,1973,45,499,9768,139,1545,28526,HSC
2_E1,124482,89947,57444,106,31,2859,7,717,-28,244,29259,340,2536,30914,HSC
2_E2,127880,93672,94678,145,102,4463,797,2204,-72,527,28811,456,2955,31111,HSC
2_E3,124491,89446,72925,58,53,2958,316,782,-108,509,6477,198,1726,31303,HSC
2_E4,129457,94411,59395,58,36,1799,534,846,7,423,8107,175,1288,31508,HSC
2_E5,118116,88245,40961,71,40,2195,71,709,120,274,43246,241,4547,31701,HSC
2_E6,99894,83812,60939,11,34,2357,121,1295,-40,293,1536,199,699,31893,HSC
2_E7,73478,81501,91200,-6,23,3505,24,2059,-120,464,4119,175,1287,32084,HSC
2_E8,121110,86965,68316,143,98,2087,116,1282,95,209,5318,204,793,32279,HSC
2_E9,108611,87618,65486,57,54,1741,53,762,-115,314,15339,292,1430,32472,HSC
2_E10,131419,93307,46332,52,119,1393,299,1090,182,396,17141,280,578,32672,HSC
2_E11,102287,83433,58565,32,7,1951,132,1291,-13,226,7472,209,1128,32864,HSC
2_E12,127394,91244,63246,85,84,2267,268,1617,5,1013,15890,204,2172,33057,HSC
2_F1,76035,82038,96048,-41,61,2796,106,1956,-42,171,5845,234,1374,35409,HSC
2_F2,129582,88330,55025,66,17,2335,517,671,-5,491,5623,119,1110,35214,HSC
2_F3,81945,89788,118033,377,119,4393,43,1173,5,648,8893,277,3141,35022,HSC
2_F4,118295,91715,68398,194,34,2175,-45,431,-121,313,29939,278,1504,34826,HSC
2_F5,111455,85888,56205,76,88,1780,16,4767,-111,417,6156,206,663,34630,HSC
2_F6,98332,85144,64193,-6,11,1220,-42,1113,-66,157,15457,75,721,34435,HSC
2_F7,81713,84194,108527,186,79,2069,4,1210,-105,695,5248,222,1141,34240,HSC
2_F8,126365,89283,62447,190,24,1757,30,767,-36,212,5730,115,1006,34046,HSC
2_F9,110536,84351,86332,225,102,4540,1173,1539,-95,365,34370,178,2270,33856,HSC
2_F10,111874,87334,71809,239,79,3944,66,3249,-116,602,14614,333,1360,33664,HSC
2_F11,124153,86882,68575,197,113,3908,320,970,-227,156,9293,118,2159,33468,HSC
2_F12,103926,87643,50911,99,44,1180,271,499,27,361,3213,122,1143,33252,HSC
2_G1,109781,86900,49608,200,15,1515,264,713,42,227,3058,202,750,35609,HSC
2_G2,79961,96973,106195,168,130,2375,360,1072,58,1184,8003,277,1995,35800,HSC
2_G3,108829,86186,47155,92,132,1977,-99,1862,-29,350,31543,178,1467,35992,HSC
2_G4,123711,88776,68237,14,43,1684,994,1591,13,437,6323,187,1241,36187,HSC
2_G5,115814,87530,69904,97,35,1884,4835,724,125,639,3601,258,3398,36380,HSC
2_G6,125126,86514,51538,137,38,871,21,614,95,1449,2717,121,1388,36580,HSC
2_G7,109718,83603,61543,270,34,3094,43,2204,-104,240,9801,198,1994,36780,HSC
2_G8,130283,87994,62501,167,98,2243,3413,469,26,632,19934,244,2657,36995,HSC
2_G9,135133,90902,52712,354,28,757,163,9052,-79,868,2140,249,1759,37193,HSC
2_G10,116210,87853,58709,122,19,2567,110,939,-134,424,7891,184,975,37386,HSC
2_G11,85158,81042,70460,1,16,3382,63,1801,-108,224,12402,175,1485,37577,HSC
2_G12,106425,85958,76820,127,61,4498,92,6052,-244,170,11736,252,1365,37770,HSC
2_H1,111554,84540,51672,33,95,2948,103,4684,-86,406,17963,337,1792,40214,HSC
2_H2,119766,88007,68635,133,71,1341,89,687,-7,460,3655,245,683,40020,HSC
2_H3,112695,83303,47331,36,-34,867,83,5286,62,660,1595,177,1839,39829,HSC
2_H4,105228,90713,75979,264,36,2437,99,2156,26,210,35154,362,1673,39632,HSC
2_H5,88477,81067,53970,116,-13,3296,112,1008,-92,338,7579,165,1341,39416,HSC
2_H6,127539,92104,75509,-60,28,1747,102,1750,-56,269,13909,220,1787,39221,HSC
2_H7,117516,89384,48824,-117,82,1442,172,20116,-26,1958,86,292,1605,39027,HSC
2_H8,109423,84945,74129,153,57,3708,74,876,-196,593,5862,207,1137,38835,HSC
2_H9,125016,95037,57967,70,15,2015,454,2532,-76,393,4157,180,1166,38639,HSC
2_H10,109463,85301,54685,4,42,2287,195,1750,-15,380,8952,193,1158,38395,HSC
2_H11,124383,88910,66925,188,33,1341,304,909,52,297,3851,111,1062,38165,HSC
2_H12,129535,93800,65418,286,51,3796,984,1576,10,463,10673,255,2314,37964,HSC
3_A1,112658,88277,69876,29,73,2922,18,1753,-130,394,15869,339,1876,21346,HSC
3_A2,121219,86473,65391,179,85,2452,550,1041,45,361,5634,212,1566,21591,HSC
3_A3,108333,85121,77105,145,121,3745,20,1397,66,234,26311,305,3074,21788,HSC
3_A4,120269,87174,75981,164,104,1879,356,1301,-103,461,8638,138,1069,21978,HSC
3_A5,91519,82079,80762,117,53,2789,330,1217,-208,374,7201,338,1629,22197,HSC
3_A6,112547,85498,57599,103,51,2389,373,465,-161,398,4773,182,1492,22395,HSC
3_A7,106497,86817,54769,3,-4,1906,186,1989,-135,399,5404,126,932,22586,HSC
3_A8,105640,84439,51024,136,22,1404,82,1072,-43,169,3259,181,481,22779,HSC
3_A9,124029,87360,57085,-35,53,820,52,2645,76,600,2044,221,1133,22974,HSC
3_A10,109917,86260,60644,64,99,3252,-29,875,-118,520,8756,226,2109,23189,HSC
3_A11,98083,83767,50871,57,144,2202,1314,1386,30,197,4612,118,587,23387,HSC
3_A12,115940,86634,52696,306,33,2152,40,2406,-51,306,10480,103,1417,23579,HSC
3_B1,115109,86551,59339,152,9,2408,-2,1157,-53,170,6796,192,1311,25941,HSC
3_B2,113255,89255,47142,-20,76,1765,340,696,-68,17,7622,179,655,25743,HSC
3_B3,135541,92354,72199,87,-20,1130,-27,6194,-23,761,1928,222,2009,25541,HSC
3_B4,135247,90292,56638,61,69,2286,24,2073,-43,658,10986,419,3381,25351,HSC
3_B5,107472,84498,62752,89,69,3692,97,7475,-143,922,12884,166,1437,25156,HSC
3_B6,109984,85797,66928,79,36,1907,8,830,67,275,22845,327,1544,24941,HSC
3_B7,115713,88676,61543,22,48,1344,129,1245,15,346,10096,230,1472,24748,HSC
3_B8,115232,87521,76739,135,78,2305,218,2245,47,164,12326,224,993,24553,HSC
3_B9,89623,84725,83966,135,115,3125,582,3370,-108,291,7623,226,1412,24360,HSC
3_B10,80729,82531,77010,132,93,3041,58,4109,91,362,9047,222,923,24169,HSC
3_B11,126016,90599,57038,230,42,2562,91,821,-44,550,7309,187,1739,23969,HSC
3_B12,94867,82925,49748,63,138,2718,148,1297,87,320,22041,343,1820,23775,HSC
3_C1,126146,89085,62105,-54,115,2235,-79,3104,-83,447,25525,286,2133,26132,HSC
3_C2,112971,84806,53605,343,7,2253,220,1289,80,244,9047,168,1230,26323,HSC
3_C3,121651,88245,72426,112,53,1849,331,2742,-32,586,8600,232,1318,26534,HSC
3_C4,119652,90759,60749,43,25,1390,-5,976,17,1093,705,147,944,26776,HSC
3_C5,108646,89061,85325,-6,19,2456,57,4033,-18,185,21081,97,2204,26973,HSC
3_C6,103873,82701,34677,44,23,1606,1402,882,-16,282,16887,180,1560,27164,HSC
3_C7,109654,87095,45091,72,26,1369,143,523,211,35,7534,217,1716,27358,HSC
3_C8,105819,85445,58924,151,102,2399,-71,1162,-124,583,16153,190,1363,27553,HSC
3_C9,123210,90854,56070,73,114,3030,36,1877,-198,483,12754,151,1576,27745,HSC
3_C10,122006,93878,61411,55,72,2053,133,900,24,188,21001,412,2010,27946,HSC
3_C11,123293,89646,47030,144,-2,2011,92,2720,3,330,18867,414,2643,28138,HSC
3_C12,124047,89957,72164,57,110,2234,14,1594,-10,423,9273,187,977,28331,HSC
3_D1,104967,83864,69432,223,22,2781,243,2929,-95,412,11608,101,1632,30700,HSC
3_D2,104952,82379,44868,-45,-172,2661,-1,995,51,89,9083,71,774,30505,HSC
3_D3,106039,85949,53527,-51,-5,1987,166,3852,42,373,4526,290,871,30315,HSC
3_D4,97049,83867,56983,167,56,2762,12,1452,-165,694,13098,181,1290,30119,HSC
3_D5,116350,85788,55740,340,63,2578,331,1202,85,414,7430,154,1108,29929,HSC
3_D6,122051,90820,117309,-153,56,4805,582,5052,-136,649,7171,272,1018,29730,HSC
3_D7,96925,94417,83815,48,75,3043,181,1355,61,417,12039,234,1778,29516,HSC
3_D8,92532,82129,54961,-37,21,1140,35,2054,-79,107,19828,245,1932,29322,HSC
3_D9,112635,86497,68748,37,30,1446,86,1048,34,439,5063,180,998,29126,HSC
3_D10,111814,85824,51172,4,36,1306,-4,1460,15,420,8978,181,1170,28938,HSC
3_D11,67156,82890,70683,214,52,2510,143,186,111,659,2926,281,2085,28739,HSC
3_D12,127275,88193,62711,-49,122,1986,105,1973,45,499,9768,139,1545,28526,HSC
3_E1,124482,89947,57444,106,31,2859,7,717,-28,244,29259,340,2536,30914,HSC
3_E2,127880,93672,94678,145,102,4463,797,2204,-72,527,28811,456,2955,31111,HSC
3_E3,124491,89446,72925,58,53,2958,316,782,-108,509,6477,198,1726,31303,HSC
3_E4,129457,94411,59395,58,36,1799,534,846,7,423,8107,175,1288,31508,HSC
3_E5,118116,88245,40961,71,40,2195,71,709,120,274,43246,241,4547,31701,HSC
