PLATE1,1,2,3,4,5,6,7,8,9,10,11,12
A,1_B3,1_B6,1_D4,1_D5,1_E5,1_E6,1_F3,1_F4,1_G3,1_H7,2_A1,2_A2
B,2_A4,2_B6,2_B11,2_C1,2_D2,2_E1,2_F1,2_F6,2_H4,3_D1,3_E2,3_F2
C,3_F3,3_G8,3_H2,3_H3,4_B2,4_B3,4_B6,4_C5,4_E1,4_F1,4_H4,4_H5
D,5_C2,5_D5,5_E1,5_F1,5_H3,5_H9,6_B6,6_C3,6_E7,6_G6,6_H3,7_A4
E,7_C4,7_D5,7_E4,7_F1,7_F5,7_G1,7_H5,8_A1,8_C3,8_C5,8_D3,8_F1
F,8_H6,9_A1,9_A6,9_B3,9_B5,9_B9,9_C8,9_D5,9_E5,9_F1,9_F6,9_F7
G,9_F8,9_H3,10_A5,10_B4,10_B6,10_C4,10_C6,10_D7,10_F8,10_G6,10_G7,
H,,,,,,,,,,,,
,,,,,,,,,,,,
PLATE2,1,2,3,4,5,6,7,8,9,10,11,12
A,1_A2,1_B2,1_B5,1_B12,1_C12,1_D2,1_E1,1_F1,1_H2,1_H4,2_A3,2_A9
B,2_B1,2_B2,2_B3,2_E6,2_F3,3_C3,3_C4,3_D9,3_E1,3_E5,3_E6,3_E9
C,3_F10,3_G5,3_G10,3_G11,3_H4,4_C3,4_D1,4_D4,4_E6,4_F7,4_G4,4_G6
D,4_G9,5_B2,5_B10,5_D10,5_E2,5_F6,5_H2,5_H4,6_A3,6_B2,6_B8,6_C2
E,6_D2,6_D8,6_D11,6_E1,6_E6,6_F9,6_G1,6_H1,6_H2,6_H4,7_B1,7_B3
F,7_C3,7_C6,7_D2,7_E1,7_E2,7_E5,7_E6,7_E10,7_F4,7_F8,7_G2,7_G5
G,7_H1,7_H2,8_A5,8_B3,8_B11,8_C2,8_C6,8_D4,8_D6,8_E7,8_E9,8_G1
H,8_G2,8_G3,8_G4,9_A10,9_B4,9_B10,9_B12,9_C1,9_C4,9_C5,9_C6,9_C10
,,,,,,,, ,,,,
PLATE3,1,2,3,4,5,6,7,8,9,10,11,12
A,9_D1,9_D12,9_E2,9_E7,9_E11,9_F3,9_F9,9_G2,9_G4,9_G5,9_G8,9_G10
B,10_H12,10_A3,10_C2,10_C5,10_C8,1_E3,1_E8,10_F2,10_F9,10_G2,10_G9,
C,1_B1,1_B4,1_C1,1_D1,1_F10,1_G5,1_G7,2_C10,2_D1,2_G2,2_G11,3_B6
D,3_B9,3_B10,3_C11,3_D11,3_E8,4_B8,4_C12,4_E2,5_A8,5_A9,5_B11,5_B12
E,5_D1,5_D6,5_D11,5_F10,5_G11,6_F12,7_D6,7_F3,7_F6,7_G6,8_A3,8_D11
F,8_F11,8_G11,8_H10,9_B6,9_C11,9_D4,9_D9,9_F12,9_G6,9_H8,10_A11,10_B5
G,10_B12,10_F4,,,,,,,,,,
H,,,,,,,,,,,,